  NAK      TPE
 DEPT  ARVL   EFF     DSC    FREQ   CC  TRAIN EQP ORG  DST DD INH PRI
 510P  518P 14JAN21 10APR21    @    AM    667  H  NAK  TPE  0  N   N
 520P  528P 14JAN21 10APR21    @    AM    149  H  NAK  TPE  0  N   N
 525P  533P 14JAN21 09APR21 S----F- AM   1545  H  NAK  TPE  0  N   N
 525P  533P 08FEB21 13FEB21 -MTW--S AM   1545  H  NAK  TPE  0  N   N
 535P  543P 14JAN21 10APR21    @    AM    669  H  NAK  TPE  0  N   N
 540P  548P 14JAN21 07FEB21 S---TF- AM   1245  H  NAK  TPE  0  N   N
 540P  548P 08FEB21 16FEB21    @    AM   1245  H  NAK  TPE  0  N   N
 540P  548P 18FEB21 09APR21 S---TF- AM   1245  H  NAK  TPE  0  N   N
 550P  558P 09FEB21 13FEB21 --TW--S AM   1325  H  NAK  TPE  0  N   N
 600P  608P 14JAN21 10APR21    @    AM    849  H  NAK  TPE  0  N   N
 610P  618P 14JAN21 10APR21    @    AM    673  H  NAK  TPE  0  N   N
 620P  628P 14JAN21 10APR21    @    AM    153  H  NAK  TPE  0  N   N
 625P  633P 14JAN21 07FEB21 S----F- AM   1549  H  NAK  TPE  0  N   N
 625P  633P 08FEB21 10FEB21 -MTW--- AM   1549  H  NAK  TPE  0  N   N
 625P  633P 14FEB21 09APR21 S----F- AM   1549  H  NAK  TPE  0  N   N
 635P  643P 14JAN21 10APR21    @    AM    675  H  NAK  TPE  0  N   N
 640P  648P 14JAN21 10FEB21    @    AM    249  H  NAK  TPE  0  N   N
 640P  648P 12FEB21 10APR21    @    AM    249  H  NAK  TPE  0  N   N
 650P  658P 14JAN21 05FEB21 -----F- AM   1327  H  NAK  TPE  0  N   N
 650P  658P 08FEB21 13FEB21 -MTW--S AM   1327  H  NAK  TPE  0  N   N
 650P  658P 19FEB21 09APR21 -----F- AM   1327  H  NAK  TPE  0  N   N
 700P  708P 14JAN21 10APR21    @    AM    853  H  NAK  TPE  0  N   N
 710P  718P 14JAN21 10APR21 S---TFS AM   1679  H  NAK  TPE  0  N   N
 710P  718P 08FEB21 17FEB21 -MTW--- AM   1679  H  NAK  TPE  0  N   N
 720P  728P 14JAN21 10APR21    @    AM    157  H  NAK  TPE  0  N   N
 725P  733P 14JAN21 07FEB21 S----F- AM   1553  H  NAK  TPE  0  N   N
 725P  733P 08FEB21 10FEB21 -MTW--- AM   1553  H  NAK  TPE  0  N   N
 725P  733P 14FEB21 09APR21 S----F- AM   1553  H  NAK  TPE  0  N   N
 735P  743P 14JAN21 10APR21    @    AM    681  H  NAK  TPE  0  N   N
 740P  748P 14JAN21 07FEB21 S----F- AM   1253  H  NAK  TPE  0  N   N
 740P  748P 08FEB21 16FEB21 SMTW--S AM   1253  H  NAK  TPE  0  N   N
 740P  748P 19FEB21 09APR21 S----F- AM   1253  H  NAK  TPE  0  N   N
 750P  758P 09FEB21 10FEB21 --TW--- AM   1329  H  NAK  TPE  0  N   N
 800P  808P 14JAN21 10APR21    @    AM    857  H  NAK  TPE  0  N   N
 810P  818P 14JAN21 10APR21 S----FS AM   1685  H  NAK  TPE  0  N   N
 810P  818P 08FEB21 16FEB21 -MTW--- AM   1685  H  NAK  TPE  0  N   N
 820P  828P 14JAN21 10APR21    @    AM    161  H  NAK  TPE  0  N   N
 825P  833P 14JAN21 07FEB21 S----F- AM   1557  H  NAK  TPE  0  N   N
 825P  833P 09FEB21 10FEB21 --TW--- AM   1557  H  NAK  TPE  0  N   N
 825P  833P 19FEB21 09APR21 S----F- AM   1557  H  NAK  TPE  0  N   N
 835P  843P 14JAN21 10APR21    @    AM    687  H  NAK  TPE  0  N   N
 840P  848P 14JAN21 07FEB21 S----F- AM   1257  H  NAK  TPE  0  N   N
 840P  848P 08FEB21 10FEB21 -MTW--- AM   1257  H  NAK  TPE  0  N   N
 840P  848P 14FEB21 09APR21 S----F- AM   1257  H  NAK  TPE  0  N   N
 850P  858P 09FEB21 10FEB21 --TW--- AM   1331  H  NAK  TPE  0  N   N
 900P  908P 14JAN21 10APR21    @    AM    861  H  NAK  TPE  0  N   N
 910P  918P 14JAN21 03JAN21 S---T-- AM   1691  H  NAK  TPE  0  N   N
 910P  918P 14JAN21 05FEB21 -----F- AM   1691  H  NAK  TPE  0  N   N
 910P  918P 08FEB21 08FEB21 -M----- AM   1691  H  NAK  TPE  0  N   N
 910P  918P 19FEB21 09APR21 -----F- AM   1691  H  NAK  TPE  0  N   N
 920P  928P 14JAN21 10APR21    @    AM    165  H  NAK  TPE  0  N   N
 930P  938P 14JAN21 10APR21    @    AM    693  H  NAK  TPE  0  N   N
 935P  943P 09FEB21 10FEB21 --TW--- AM   1293  H  NAK  TPE  0  N   N
 945P  953P 14JAN21 10APR21    @    AM    333  H  NAK  TPE  0  N   N
 955P 1002P 14JAN21 07FEB21 S----F- AM   1563  H  NAK  TPE  0  N   N
 955P 1002P 09FEB21 10FEB21 --TW--- AM   1563  H  NAK  TPE  0  N   N
 955P 1002P 14FEB21 09APR21 S----F- AM   1563  H  NAK  TPE  0  N   N
1000P 1008P 14JAN21 30APR21    @    AM   1337  H  NAK  TPE  0  N   N
1005P 1013P 14JAN21 10APR21    @    AM    295  H  NAK  TPE  0  N   N
1015P 1023P 14JAN21 10APR21    @    AM    565  H  NAK  TPE  0  N   N
1030P 1038P 14JAN21 30APR21    @    AM   1701  H  NAK  TPE  0  N   N
1050P 1057P 14JAN21 10APR21    @    AM    567  H  NAK  TPE  0  N   N

>RM*CPNAKBAC
  NAK      BAC
 DEPT  ARVL   EFF     DSC    FREQ   CC  TRAIN EQP ORG  DST DD INH PRI
 615A  633A 14JAN21 10APR21    @    AM    803  H  NAK  BAC  0  N   N
 635A  653A 14JAN21 01JAN21 -----F- AM   1103  H  NAK  BAC  0  N   N
 635A  653A 10FEB21 14FEB21 S--WTFS AM   1103  H  NAK  BAC  0  N   N
 640A  659A 14JAN21 10APR21    @    AM    603  H  NAK  BAC  0  N   N
 700A  718A 14JAN21 10APR21    @    AM    805  H  NAK  BAC  0  N   N
 710A  728A 14JAN21 10APR21 ------S AM   1607  H  NAK  BAC  0  N   N
 710A  728A 14JAN21 01JAN21 -----F- AM   1607  H  NAK  BAC  0  N   N
 710A  728A 09FEB21 15FEB21 SMTWTF- AM   1607  H  NAK  BAC  0  N   N
